wool,corn,milk,beef,wheat,potatoes,iron,coal,gold,silver,copper,tin
43,37,29,53,38,28,21,15,122,112,93,65
40,40,27,38,32,23,31,17,175,136,108,51
40,40,24,42,37,32,22,24,155,128,91,69
44,50,28,43,37,23,32,26,114,131,87,64
41,49,28,47,46,25,33,18,179,136,91,73
37,49,27,50,30,26,33,18,149,96,72,70
34,52,34,40,45,30,30,26,119,96,104,56
38,53,24,47,45,26,25,19,135,91,92,65
40,39,32,47,46,31,30,25,179,95,84,49
47,44,27,55,38,35,30,24,164,107,102,62
40,49,27,42,33,37,33,17,144,123,98,65
45,53,37,47,45,32,36,21,125,100,87,63
40,45,35,43,34,28,28,26,125,124,110,63
42,52,37,45,40,37,34,24,188,102,91,57
43,54,36,45,40,37,25,25,185,127,88,73
39,52,28,41,47,35,33,26,154,139,114,55
40,58,38,44,38,29,30,23,155,114,84,52
40,52,35,48,45,30,31,21,137,143,98,52
43,51,38,45,41,33,29,28,181,129,107,76
47,44,32,56,42,27,32,19,188,141,90,67
37,45,35,53,40,32,27,28,193,130,111,76
48,51,34,57,41,38,36,28,158,144,88,74
44,44,37,52,45,28,33,26,176,122,93,77
43,57,39,53,46,37,32,29,188,135,103,77
41,58,35,56,48,38,32,27,196,147,98,64
38,58,33,56,45,29,30,25,188,124,109,58
48,53,38,57,43,33,30,28,144,143,91,76
41,48,38,47,48,31,38,28,164,112,102,77
40,54,31,46,39,34,34,25,173,132,113,72
45,56,38,46,47,29,37,26,194,115,100,78
40,58,33,55,39,33,38,21,155,135,116,63
41,46,32,57,44,33,38,24,167,113,102,77
48,46,35,47,47,35,38,29,176,135,117,70
48,49,39,56,45,37,36,29,171,140,117,77
42,59,37,51,48,39,35,26,167,117,118,72
46,48,35,57,41,39,36,24,188,135,119,77
47,51,31,49,40,32,39,29,187,136,102,65
40,59,39,59,44,38,36,29,174,132,115,79
46,57,31,52,41,34,38,29,194,146,103,77
46,56,39,50,41,40,34,27,188,132,103,77
50,60,37,52,43,39,36,26,164,145,114,75
46,50,37,59,48,39,35,29,191,125,116,79
50,59,40,50,49,35,39,25,196,135,117,77
42,59,35,59,43,38,40,25,174,150,119,72
41,57,38,54,49,40,38,28,181,131,114,70
47,58,39,54,47,37,40,26,182,150,120,67
44,52,39,60,50,36,40,26,199,146,119,69
47,59,39,59,49,39,40,28,196,142,119,79
47,57,40,59,49,39,39,26,172,129,119,77
48,53,37,58,45,40,40,30,184,150,111,77
44,54,39,55,50,37,38,25,196,141,118,71
49,56,39,55,49,40,34,26,186,132,105,79
49,53,39,57,48,40,39,30,196,144,119,71
47,53,39,58,47,37,38,25,188,146,119,80
44,59,38,57,48,36,40,29,198,148,120,79
47,60,38,59,50,38,39,30,199,145,106,75
49,56,39,59,49,39,39,28,185,145,109,80
48,57,37,58,50,39,39,27,200,150,120,80
49,60,39,58,46,38,40,29,182,148,118,79
50,58,39,60,45,37,39,29,198,142,114,80
49,59,38,59,49,40,40,30,199,150,117,79
49,59,39,59,49,40,40,27,200,150,119,78
48,59,37,59,50,39,40,28,199,148,120,79
49,59,40,58,46,38,37,29,184,138,120,79
48,59,38,58,47,39,39,30,197,147,111,78
49,59,40,59,47,39,39,30,199,147,119,79
49,58,39,59,48,40,38,29,200,149,119,80
49,58,38,57,49,39,39,29,189,150,118,79
50,60,38,59,47,39,38,28,191,147,120,77
48,59,40,59,48,40,39,29,193,146,120,79
48,59,39,58,48,39,40,29,197,148,117,79
49,59,37,60,48,39,39,28,198,148,118,80
48,59,38,59,50,38,38,29,199,148,119,76
49,58,40,59,49,39,40,29,197,148,119,77
49,58,40,57,47,37,40,28,200,146,115,80
49,58,37,60,48,39,39,30,193,146,118,77
50,59,39,59,49,39,39,29,199,149,115,77
50,59,39,60,49,40,37,29,199,148,118,78
50,59,40,58,47,39,40,29,200,142,115,79
47,59,39,58,48,38,38,29,199,145,119,74
50,58,38,59,49,39,39,29,195,143,119,77
46,59,39,60,49,39,38,29,197,148,117,77
47,58,39,59,48,40,40,30,197,143,118,79
50,56,39,60,49,39,40,29,191,147,116,75
49,57,39,58,48,36,39,27,197,148,118,78
46,57,38,60,49,38,39,30,200,150,119,74
48,56,39,60,48,39,40,29,199,148,118,80
50,60,39,59,48,39,39,29,197,141,120,79
49,59,35,60,44,39,35,26,198,142,120,79
49,59,40,59,49,39,35,27,176,139,120,76
48,60,39,58,48,37,39,29,200,149,112,79
49,57,40,54,49,40,40,30,200,149,119,79
49,60,40,59,49,35,38,29,200,150,117,80
50,54,38,59,48,39,38,29,197,129,117,80
50,57,40,53,49,39,39,29,188,150,118,75
46,55,38,59,50,40,35,30,172,137,115,78
47,58,40,55,43,33,34,28,200,143,103,80
49,57,40,58,49,35,39,26,197,149,120,80
43,56,39,60,45,38,40,27,176,142,119,74
46,57,37,59,49,34,39,24,183,149,113,80
44,59,38,54,45,39,34,26,200,149,114,77
48,53,38,60,41,33,39,25,185,148,109,75
50,52,37,58,49,37,40,28,197,147,114,80
42,59,34,51,48,38,39,25,200,135,120,76
50,55,39,54,47,39,35,29,190,150,119,71
48,59,32,55,49,32,32,23,200,135,116,75
49,60,38,52,47,39,37,28,178,119,107,73
45,59,31,54,48,35,38,25,173,142,102,77
48,57,39,48,44,38,38,28,175,131,108,78
40,57,30,51,39,39,39,29,167,127,115,76
45,51,37,57,47,32,35,29,190,145,118,64
46,56,38,59,45,30,39,28,180,117,104,69
41,59,30,49,47,39,33,22,198,147,92,73
38,54,32,59,48,39,37,26,197,115,89,74
45,59,39,55,46,32,30,23,185,141,98,71
40,58,38,54,40,34,31,23,175,148,93,64
46,58,29,48,48,29,31,29,164,148,94,76
39,55,29,54,42,36,33,23,194,140,107,59
42,58,33,55,47,39,38,20,172,113,106,63
43,58,29,58,44,35,38,28,186,136,115,70
47,56,36,57,46,31,33,21,191,125,85,67
40,49,38,44,44,38,34,26,188,135,117,55
41,53,36,44,47,35,29,22,183,117,91,62
44,52,32,57,48,35,33,25,137,142,84,57
35,45,37,58,47,34,33,20,184,145,100,73
40,53,33,55,38,28,30,29,146,145,98,77
46,46,34,52,45,29,34,23,189,136,81,64
44,51,35,41,36,36,30,28,170,134,102,53
38,53,32,53,35,26,32,23,158,135,82,65
43,57,26,56,34,26,33,22,175,143,95,51
38,57,30,43,38,35,30,26,188,119,83,75
45,41,26,53,39,37,27,26,146,140,101,60
45,43,35,46,37,32,35,21,167,103,91,69
43,53,25,54,45,32,34,22,135,135,112,51
33,51,28,42,46,35,36,17,137,136,84,74
31,55,30,47,42,30,34,17,179,99,111,71
32,54,36,46,46,29,26,26,165,134,90,60
43,41,34,39,35,32,33,16,175,136,104,59
38,38,25,53,35,29,29,25,127,115,90,52
35,53,28,49,36,29,28,22,183,97,88,47
44,49,29,49,40,26,31,23,176,96,88,60
33,42,32,49,30,29,25,21,169,123,108,62
44,50,25,39,34,31,31,19,148,132,99,66
35,46,34,40,45,30,28,16,146,99,97,69
31,37,34,43,37,35,30,16,164,95,84,47
43,49,32,36,32,34,21,19,135,132,103,63
44,51,27,40,37,21,24,23,118,112,100,44
31,43,27,46,32,30,22,17,127,106,97,50
40,36,33,52,38,23,27,23,164,110,93,66
38,42,31,35,43,34,24,16,131,110,67,57
39,43,32,35,31,25,28,19,150,107,78,62
31,46,21,46,35,32,31,22,154,113,96,50
